class,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22
happy,0.561,0.284,-0.294,0.698,0.412,-0.082,0.485,0.419,-0.046,0.802,0.606,-0.276,0.419,0.641,-0.335,0.69,0.543,-0.618,0.488,0.496,-0.811,0.66,0.558,-0.69,0.518,0.474,-0.891,0.65,0.499,-0.66,0.525,0.449,-0.859,0.653,0.51,-0.609
happy,0.558,0.284,-0.301,0.698,0.412,-0.086,0.485,0.42,-0.045,0.803,0.603,-0.266,0.418,0.642,-0.339,0.691,0.544,-0.599,0.484,0.487,-0.829,0.66,0.574,-0.67,0.513,0.462,-0.911,0.65,0.503,-0.641,0.52,0.439,-0.878,0.653,0.517,-0.59
happy,0.557,0.285,-0.306,0.698,0.412,-0.086,0.485,0.42,-0.04,0.803,0.601,-0.258,0.415,0.643,-0.33,0.691,0.554,-0.587,0.482,0.492,-0.808,0.659,0.576,-0.656,0.509,0.469,-0.888,0.65,0.515,-0.628,0.515,0.444,-0.857,0.653,0.528,-0.577
happy,0.557,0.285,-0.307,0.697,0.411,-0.093,0.485,0.42,-0.034,0.803,0.599,-0.265,0.413,0.643,-0.33,0.691,0.562,-0.599,0.481,0.501,-0.813,0.659,0.579,-0.669,0.509,0.482,-0.894,0.649,0.53,-0.643,0.513,0.453,-0.864,0.652,0.535,-0.59
happy,0.558,0.285,-0.309,0.697,0.411,-0.072,0.485,0.419,-0.051,0.802,0.6,-0.283,0.414,0.638,-0.338,0.691,0.531,-0.678,0.483,0.547,-0.798,0.66,0.52,-0.751,0.516,0.555,-0.874,0.65,0.486,-0.711,0.518,0.514,-0.846,0.653,0.489,-0.666
happy,0.559,0.285,-0.323,0.696,0.411,-0.067,0.484,0.418,-0.055,0.802,0.606,-0.275,0.415,0.638,-0.293,0.692,0.513,-0.644,0.485,0.591,-0.714,0.661,0.493,-0.713,0.519,0.601,-0.781,0.651,0.464,-0.675,0.52,0.558,-0.761,0.654,0.467,-0.632
happy,0.56,0.285,-0.333,0.696,0.412,-0.064,0.483,0.418,-0.056,0.802,0.615,-0.279,0.416,0.64,-0.281,0.692,0.498,-0.654,0.488,0.613,-0.71,0.662,0.474,-0.725,0.522,0.623,-0.779,0.652,0.45,-0.678,0.522,0.582,-0.761,0.654,0.455,-0.639
happy,0.561,0.285,-0.343,0.696,0.412,-0.06,0.483,0.419,-0.067,0.802,0.621,-0.3,0.417,0.641,-0.288,0.692,0.49,-0.713,0.489,0.623,-0.72,0.663,0.464,-0.791,0.523,0.634,-0.795,0.653,0.443,-0.742,0.523,0.594,-0.783,0.654,0.448,-0.699
happy,0.561,0.285,-0.341,0.695,0.412,-0.06,0.482,0.419,-0.074,0.801,0.621,-0.305,0.416,0.641,-0.329,0.692,0.503,-0.728,0.487,0.612,-0.769,0.664,0.483,-0.806,0.522,0.618,-0.84,0.653,0.456,-0.761,0.522,0.581,-0.82,0.654,0.46,-0.715
happy,0.562,0.286,-0.353,0.695,0.412,-0.063,0.482,0.419,-0.079,0.799,0.62,-0.332,0.415,0.641,-0.372,0.692,0.511,-0.796,0.485,0.593,-0.875,0.664,0.494,-0.88,0.522,0.6,-0.956,0.653,0.466,-0.84,0.522,0.563,-0.932,0.655,0.469,-0.786
happy,0.562,0.286,-0.361,0.694,0.412,-0.074,0.482,0.419,-0.078,0.798,0.618,-0.35,0.415,0.641,-0.384,0.69,0.511,-0.813,0.485,0.56,-0.892,0.663,0.498,-0.898,0.522,0.557,-0.973,0.652,0.471,-0.856,0.522,0.525,-0.942,0.653,0.473,-0.802
happy,0.562,0.288,-0.368,0.693,0.412,-0.087,0.482,0.42,-0.071,0.797,0.61,-0.33,0.415,0.65,-0.37,0.69,0.561,-0.755,0.484,0.508,-0.888,0.66,0.57,-0.836,0.514,0.486,-0.975,0.649,0.534,-0.8,0.517,0.459,-0.946,0.651,0.528,-0.745
happy,0.561,0.289,-0.366,0.693,0.412,-0.093,0.482,0.42,-0.062,0.797,0.606,-0.322,0.416,0.657,-0.362,0.689,0.575,-0.736,0.483,0.498,-0.89,0.658,0.59,-0.816,0.51,0.469,-0.98,0.647,0.553,-0.781,0.513,0.442,-0.952,0.65,0.547,-0.725
happy,0.561,0.289,-0.364,0.692,0.412,-0.094,0.482,0.421,-0.055,0.798,0.603,-0.307,0.417,0.659,-0.353,0.689,0.581,-0.709,0.483,0.498,-0.866,0.657,0.596,-0.791,0.508,0.469,-0.952,0.647,0.559,-0.766,0.511,0.442,-0.925,0.649,0.553,-0.7
happy,0.561,0.29,-0.366,0.692,0.412,-0.097,0.482,0.421,-0.053,0.798,0.602,-0.306,0.418,0.661,-0.351,0.689,0.582,-0.716,0.483,0.502,-0.878,0.656,0.594,-0.8,0.507,0.476,-0.968,0.646,0.558,-0.774,0.51,0.447,-0.941,0.649,0.553,-0.708
happy,0.561,0.29,-0.364,0.692,0.412,-0.1,0.482,0.421,-0.052,0.798,0.602,-0.322,0.417,0.661,-0.35,0.687,0.577,-0.756,0.483,0.525,-0.899,0.656,0.574,-0.842,0.509,0.502,-0.988,0.646,0.54,-0.811,0.513,0.468,-0.96,0.649,0.54,-0.748
happy,0.561,0.29,-0.367,0.692,0.411,-0.098,0.482,0.421,-0.062,0.798,0.603,-0.323,0.417,0.658,-0.36,0.686,0.561,-0.766,0.483,0.55,-0.902,0.656,0.548,-0.852,0.512,0.539,-0.989,0.646,0.517,-0.82,0.515,0.505,-0.965,0.648,0.52,-0.757
happy,0.562,0.29,-0.365,0.692,0.411,-0.092,0.481,0.42,-0.075,0.797,0.604,-0.328,0.418,0.65,-0.38,0.685,0.544,-0.781,0.485,0.57,-0.908,0.657,0.529,-0.87,0.516,0.571,-0.995,0.646,0.498,-0.836,0.518,0.533,-0.974,0.648,0.501,-0.773
happy,0.563,0.29,-0.365,0.692,0.411,-0.082,0.481,0.42,-0.078,0.797,0.606,-0.324,0.42,0.648,-0.375,0.685,0.532,-0.766,0.485,0.592,-0.865,0.658,0.516,-0.853,0.519,0.596,-0.947,0.646,0.485,-0.818,0.52,0.554,-0.934,0.648,0.488,-0.758
happy,0.563,0.29,-0.321,0.692,0.412,-0.008,0.481,0.42,-0.071,0.797,0.621,-0.226,0.419,0.648,-0.292,0.687,0.504,-0.609,0.485,0.628,-0.68,0.66,0.481,-0.677,0.52,0.636,-0.745,0.649,0.455,-0.627,0.521,0.598,-0.731,0.651,0.46,-0.594
happy,0.563,0.29,-0.307,0.693,0.413,-0.005,0.481,0.42,-0.069,0.798,0.628,-0.251,0.419,0.648,-0.298,0.688,0.497,-0.661,0.485,0.638,-0.71,0.661,0.474,-0.738,0.52,0.646,-0.78,0.651,0.448,-0.694,0.522,0.607,-0.763,0.652,0.453,-0.649
happy,0.563,0.291,-0.323,0.693,0.413,-0.011,0.481,0.42,-0.1,0.799,0.631,-0.251,0.419,0.647,-0.325,0.689,0.497,-0.678,0.485,0.639,-0.75,0.662,0.475,-0.758,0.521,0.646,-0.824,0.651,0.448,-0.714,0.522,0.608,-0.809,0.653,0.453,-0.667
happy,0.564,0.291,-0.321,0.693,0.412,-0.021,0.48,0.42,-0.097,0.799,0.628,-0.252,0.419,0.647,-0.325,0.688,0.501,-0.667,0.485,0.625,-0.765,0.662,0.476,-0.746,0.521,0.631,-0.836,0.651,0.453,-0.701,0.522,0.592,-0.821,0.652,0.457,-0.655
happy,0.564,0.29,-0.31,0.693,0.411,-0.027,0.48,0.42,-0.076,0.799,0.625,-0.256,0.419,0.648,-0.328,0.688,0.514,-0.664,0.485,0.622,-0.768,0.661,0.492,-0.742,0.522,0.623,-0.846,0.65,0.462,-0.699,0.523,0.586,-0.83,0.652,0.466,-0.652
happy,0.564,0.29,-0.317,0.694,0.41,-0.042,0.48,0.419,-0.078,0.799,0.621,-0.273,0.419,0.648,-0.356,0.687,0.529,-0.714,0.485,0.606,-0.839,0.661,0.512,-0.796,0.522,0.614,-0.917,0.65,0.477,-0.76,0.523,0.572,-0.898,0.652,0.481,-0.704
happy,0.564,0.289,-0.317,0.695,0.408,-0.043,0.48,0.419,-0.077,0.798,0.617,-0.28,0.419,0.648,-0.377,0.687,0.537,-0.719,0.485,0.577,-0.868,0.661,0.525,-0.801,0.521,0.578,-0.949,0.65,0.491,-0.766,0.523,0.541,-0.926,0.652,0.493,-0.71
happy,0.562,0.29,-0.35,0.695,0.408,-0.075,0.481,0.418,-0.074,0.802,0.61,-0.276,0.419,0.653,-0.377,0.689,0.567,-0.671,0.486,0.528,-0.913,0.659,0.575,-0.749,0.521,0.515,-1.002,0.649,0.536,-0.723,0.522,0.482,-0.977,0.652,0.532,-0.663
happy,0.562,0.289,-0.361,0.695,0.407,-0.085,0.481,0.418,-0.073,0.804,0.605,-0.276,0.42,0.657,-0.387,0.692,0.577,-0.671,0.485,0.515,-0.945,0.659,0.592,-0.751,0.518,0.499,-1.039,0.649,0.553,-0.724,0.519,0.465,-1.015,0.652,0.547,-0.664
happy,0.561,0.289,-0.348,0.694,0.407,-0.079,0.481,0.418,-0.069,0.804,0.603,-0.258,0.42,0.66,-0.381,0.693,0.58,-0.639,0.485,0.509,-0.91,0.659,0.597,-0.716,0.516,0.489,-0.997,0.649,0.559,-0.688,0.517,0.456,-0.973,0.652,0.552,-0.631
happy,0.561,0.289,-0.348,0.694,0.407,-0.076,0.481,0.418,-0.07,0.804,0.601,-0.26,0.42,0.662,-0.394,0.694,0.583,-0.66,0.485,0.507,-0.938,0.659,0.599,-0.744,0.513,0.485,-1.029,0.649,0.561,-0.722,0.514,0.453,-1.005,0.652,0.554,-0.656
happy,0.56,0.289,-0.347,0.694,0.407,-0.075,0.481,0.418,-0.063,0.804,0.602,-0.255,0.418,0.664,-0.374,0.693,0.58,-0.642,0.485,0.517,-0.915,0.658,0.59,-0.721,0.513,0.499,-1.001,0.649,0.553,-0.697,0.514,0.465,-0.978,0.652,0.548,-0.636
happy,0.56,0.289,-0.347,0.694,0.406,-0.079,0.481,0.418,-0.062,0.804,0.602,-0.271,0.417,0.663,-0.374,0.692,0.577,-0.684,0.485,0.522,-0.914,0.658,0.585,-0.768,0.514,0.507,-1.003,0.648,0.548,-0.747,0.514,0.473,-0.98,0.651,0.544,-0.68
happy,0.56,0.288,-0.33,0.694,0.406,-0.079,0.481,0.418,-0.059,0.804,0.602,-0.276,0.415,0.662,-0.373,0.692,0.574,-0.69,0.485,0.532,-0.906,0.658,0.577,-0.774,0.514,0.512,-0.994,0.648,0.542,-0.749,0.514,0.477,-0.971,0.651,0.539,-0.685
happy,0.56,0.288,-0.327,0.694,0.406,-0.05,0.48,0.418,-0.063,0.803,0.607,-0.262,0.415,0.658,-0.337,0.692,0.537,-0.678,0.485,0.593,-0.799,0.661,0.523,-0.759,0.516,0.597,-0.873,0.65,0.491,-0.721,0.515,0.552,-0.858,0.653,0.492,-0.67
